cv_group_id,cv_fold,subject_id,prior_std,n_trials,log_likelihood,ll_per_trial
s01_session001_run001,3,1,10,213,57.55667354450128,0.27021912462207176
s01_session001_run002,3,1,80,215,-207.50064488367087,-0.9651192785287017
s01_session001_run003,1,1,20,215,-7.359197270450884,-0.03422882451372504
s01_session001_run004,2,1,40,207,-89.07751000708326,-0.43032613529991914
s01_session001_run005,1,1,80,215,-207.953865718515,-0.9672272824116976
s01_session002_run006,4,1,10,213,41.02601242284216,0.19261038696170027
s01_session002_run007,4,1,20,215,-57.84416442675293,-0.2690426252407113
s01_session002_run008,3,1,40,207,-66.811332041692,-0.3227600581724251
s01_session002_run009,4,1,80,215,-166.01440365996535,-0.7721600170230947
s01_session002_run010,4,1,80,215,-169.01192311970286,-0.786101967998618
s01_session003_run011,4,1,80,215,-161.02991417630426,-0.7489763450060664
s01_session003_run012,1,1,10,213,56.75422400987688,0.26645175591491493
s01_session003_run013,2,1,20,215,-2.9342043514855205,-0.013647462099932653
s01_session003_run014,2,1,40,207,-75.78201807242282,-0.3660967056638783
s01_session003_run015,1,1,80,215,-166.25861558692975,-0.773295886450836
s01_session004_run016,1,1,40,207,-82.60668203924516,-0.39906609680794763
s01_session004_run017,2,1,80,215,-197.95053661974296,-0.9207001703243859
s01_session004_run018,2,1,10,213,35.82497189497518,0.16819235631443746
s01_session004_run019,3,1,20,215,-67.95960678083713,-0.316091194329475
s01_session004_run020,3,1,80,215,-191.58666738772368,-0.891100778547552
s01_session005_run021,4,1,20,215,-40.08824597278221,-0.18645695801294052
s01_session005_run022,1,1,40,207,-97.84665992915964,-0.4726891784017374
s01_session005_run023,4,1,10,213,43.69184844678151,0.2051260490459226
s01_session005_run024,2,1,80,215,-165.41259941257965,-0.7693609275003704
s01_session005_run025,4,1,80,215,-196.01772580483876,-0.9117103525806454
s01_session006_run026,4,1,40,202,-134.75438716438714,-0.667100926556372
s01_session006_run027,2,1,80,226,-185.2735414156142,-0.8197944310425407
s01_session006_run028,1,1,20,204,-45.499524047209654,-0.22303688258436105
s01_session006_run029,1,1,10,221,-67.24978796369777,-0.30429768309365507
s01_session006_run030,2,1,80,226,-212.77911066282107,-0.9415004896585003
s01_session007_run031,3,1,20,204,-117.04894868144608,-0.5737693562815984
s01_session007_run032,3,1,80,226,-183.73969144453775,-0.8130074842678662
s01_session007_run033,3,1,80,226,-212.40931420368867,-0.9398642221402154
s01_session007_run034,4,1,40,202,-118.21319987561478,-0.5852138607703702
s01_session007_run035,3,1,10,221,35.935549873555516,0.16260429807038695
s01_session008_run036,3,1,40,202,-103.59850513420274,-0.5128638868029839
s01_session008_run037,1,1,80,226,-220.95674467294623,-0.97768471094224
s01_session008_run038,2,1,20,204,-26.714242698925062,-0.1309521700927699
s01_session008_run039,2,1,10,221,22.237461174241847,0.10062199626353777
s01_session008_run040,1,1,80,226,-226.39865593541296,-1.0017639643159866
s02_session001_run001,2,2,10,213,-2.259880091958094,-0.010609765689944104
s02_session001_run002,2,2,80,215,-271.14187563007306,-1.2611250029305723
s02_session001_run003,2,2,20,215,-70.50397497708961,-0.32792546500971914
s02_session001_run004,4,2,40,207,-135.83261407295643,-0.6561962032509973
s02_session001_run005,4,2,80,215,-256.10284430609505,-1.191176020028349
s02_session002_run006,1,2,10,213,102.26408910688298,0.48011309439851163
s02_session002_run007,4,2,20,215,-9.015026232704615,-0.04193035457071914
s02_session002_run008,4,2,80,215,-286.3410648654266,-1.3318189063508212
s02_session002_run009,2,2,40,207,-126.55956968619157,-0.6113988873729062
s02_session002_run010,4,2,80,215,-296.85137577932176,-1.3807040733921943
s02_session003_run011,2,2,80,215,-241.53740335695525,-1.123429783055606
s02_session003_run012,4,2,10,213,82.68175355913101,0.38817724675648363
s02_session003_run013,1,2,20,215,-30.73883283998318,-0.1429713155348055
s02_session003_run014,1,2,40,207,-162.7726868248859,-0.7863414822458257
s02_session003_run015,3,2,80,215,-329.2793604547994,-1.5315319090920902
s02_session004_run016,4,2,20,215,-16.438184094449557,-0.07645667020674213
s02_session004_run017,3,2,10,213,113.60357835911176,0.5333501331413698
s02_session004_run018,3,2,80,215,-264.6831383790338,-1.2310843645536456
s02_session004_run019,3,2,40,207,-82.38425355666298,-0.3979915630756666
s02_session004_run020,1,2,80,215,-244.04706077855514,-1.1351026082723494
s02_session005_run020,1,2,40,207,-160.45535501997085,-0.7751466426085548
s02_session005_run022,3,2,20,215,21.35051211747697,0.0993047075231487
s02_session005_run023,3,2,10,213,32.65939394490108,0.15333048800423044
s02_session005_run024,3,2,80,215,-249.37029523610306,-1.1598618383074561
s02_session005_run025,1,2,80,215,-235.8153092948874,-1.0968153920692438
s02_session006_run026,1,2,80,215,-289.4319496198594,-1.3461951145109738
s02_session006_run027,2,2,80,215,-303.5833385425271,-1.4120155281047773
s02_session006_run028,2,2,40,207,-153.35646000573485,-0.7408524637958205
s02_session006_run029,3,2,20,215,-64.93668123230596,-0.30203107549909747
s02_session007_run030,4,2,10,213,122.94557229140776,0.577209259584074
s02_session007_run031,1,2,20,215,11.240544349844658,0.052281601627184454
s02_session007_run032,3,2,80,215,-240.3286515855837,-1.1178076817934126
s02_session007_run033,3,2,40,207,-160.18183311072107,-0.7738252807281211
s02_session008_run031,2,2,10,213,54.82211526199818,0.25738082282628255
s02_session008_run033,2,2,80,215,-295.5199726741322,-1.3745115008099171
s02_session008_run035,2,2,20,215,-10.095285351417997,-0.04695481558799069
s02_session008_run037,4,2,40,207,-137.55446020617583,-0.6645143005129267
s03_session001_run001,4,3,40,207,-139.3927103934028,-0.6733947362000136
s03_session001_run002,3,3,80,215,-191.48363977177556,-0.8906215803338398
s03_session001_run003,1,3,10,213,11.707074899206702,0.05496279295402208
s03_session001_run004,2,3,20,215,-55.18608289815808,-0.25667945534027015
s03_session001_run005,3,3,80,215,-189.9902660269603,-0.8836756559393503
s03_session002_run006,1,3,10,213,13.738249764299463,0.06449882518450452
s03_session002_run007,1,3,20,215,-16.077887695873873,-0.07478087300406452
s03_session002_run008,2,3,80,215,-145.28771289297688,-0.6757568041533809
s03_session002_run009,3,3,40,207,-93.872030137184,-0.45348806829557486
s03_session002_run010,2,3,80,215,-135.18240954479808,-0.628755393231619
s03_session003_run011,1,3,40,207,-61.893650614750776,-0.2990031430664289
s03_session003_run012,3,3,80,215,-173.12451308522822,-0.8052302934196661
s03_session003_run013,4,3,80,215,-175.39735094785195,-0.8158016323155904
s03_session003_run014,2,3,10,213,55.434083936731504,0.26025391519592256
s03_session003_run015,3,3,20,215,-14.658406812300418,-0.06817863633628102
s03_session004_run016,4,3,20,215,-51.220204922958295,-0.23823351126957346
s03_session004_run017,2,3,40,207,-154.71532609611884,-0.7474170342807673
s03_session004_run018,3,3,10,213,38.05581885682179,0.17866581622921027
s03_session004_run019,3,3,80,215,-235.93294721426915,-1.0973625451826472
s03_session004_run020,1,3,80,215,-176.4547756882824,-0.8207198869222437
s03_session005_run021,4,3,80,215,-165.91499555299075,-0.7716976537348407
s03_session005_run022,4,3,10,213,22.25431362631428,0.10448034566344731
s03_session005_run023,2,3,20,215,-56.06268571883481,-0.2607566777620224
s03_session005_run024,2,3,40,207,-132.4927794233214,-0.6400617363445478
s03_session005_run025,4,3,80,215,-184.34898294199374,-0.8574371299627616
s03_session006_run026,4,3,10,213,50.49269009802241,0.23705488308930708
s03_session006_run027,4,3,20,215,-43.696041376856655,-0.20323740175282165
s03_session006_run028,4,3,40,207,-121.59527785015803,-0.5874168012084929
s03_session006_run029,3,3,80,215,-195.4401924811004,-0.9090241510748857
s03_session007_run030,1,3,20,204,-70.37205018203642,-0.3449610303041001
s03_session007_run031,1,3,40,202,-153.71888599309779,-0.7609845841242464
s03_session007_run032,2,3,80,226,-225.8828789286269,-0.9994817651709155
s03_session007_run033,1,3,10,221,-5.8838939532203325,-0.026623954539458518
s03_session007_run034,4,3,80,226,-198.6459727126814,-0.8789644810295638
s03_session008_run035,2,3,10,221,31.66524997763466,0.14328167410694415
s03_session008_run036,1,3,80,226,-207.40687679516614,-0.9177295433414431
s03_session008_run037,3,3,40,202,-114.15587023742619,-0.5651280704823078
s03_session008_run038,3,3,20,204,-77.31997906022706,-0.37901950519719146
s03_session008_run039,1,3,80,226,-227.70537701098507,-1.00754591597781
s03_session009_run040,3,3,10,221,27.96232459107401,0.1265263556157195
s03_session009_run041,1,3,80,226,-175.67695937078912,-0.7773316786318103
s03_session009_run042,2,3,80,226,-172.5137750275621,-0.7633352877325756
s03_session009_run043,1,3,80,202,-123.16700078634449,-0.6097376276551707
s03_session009_run044,2,3,20,204,-91.31343411890607,-0.4476148731318925
s04_session001_run001,2,4,20,215,-59.443448620761004,-0.2764811563756326
s04_session001_run002,4,4,40,207,-202.50581233035484,-0.9782889484558205
s04_session001_run003,3,4,80,215,-264.22866767716994,-1.2289705473356742
s04_session001_run004,1,4,80,215,-289.1155113104092,-1.344723308420508
s04_session002_run005,1,4,80,215,-271.33753386267216,-1.262035041221731
s04_session002_run006,2,4,40,207,-229.54302004951663,-1.1089034785000804
s04_session002_run007,3,4,10,213,-1.7875612046843492,-0.008392306125278635
s04_session002_run008,4,4,80,215,-281.4505523637756,-1.3090723365757004
s04_session002_run009,1,4,20,215,-173.86776493633346,-0.808687278773644
s04_session003_run010,3,4,40,207,-175.55069535644952,-0.8480709920601426
s04_session003_run011,1,4,80,215,-269.54080584351925,-1.253678166714043
s04_session003_run012,2,4,80,215,-234.37567005415323,-1.0901193956007127
s04_session003_run013,2,4,10,213,-2.706467754970436,-0.012706421384837727
s04_session004_run014,3,4,20,215,-48.21755834001447,-0.22426771320936964
s04_session004_run015,1,4,10,213,-45.588659338065014,-0.2140312644979578
s04_session004_run016,4,4,20,215,-48.33870358970579,-0.22483117948700365
s04_session004_run017,3,4,40,207,-169.29834047489325,-0.8178663791057645
s04_session004_run018,2,4,80,215,-283.242152144304,-1.3174053588107162
s04_session005_run019,1,4,20,215,-78.86109975151268,-0.36679581279773343
s04_session005_run020,3,4,80,145,-177.94021439030715,-1.2271738923469457
s04_session005_run021,4,4,10,213,-17.015879294083874,-0.07988675724922006
s04_session005_run022,1,4,40,207,-212.0105256820404,-1.0242054380774899
s04_session005_run023,4,4,80,187,-206.28842211216516,-1.1031466423110436
s05_session001_run001,3,5,80,215,-275.2153254096535,-1.2800712809751325
s05_session001_run002,1,5,20,215,-242.73042738935962,-1.1289787320435332
s05_session001_run003,2,5,40,207,-254.21238582216378,-1.2280791585611777
s05_session001_run004,4,5,10,213,-197.38883536922947,-0.9267081472733778
s05_session002_run005,1,5,20,215,-227.7714061562419,-1.0594018890987995
s05_session002_run006,4,5,40,207,-268.1555963290344,-1.2954376634252869
s05_session002_run007,2,5,80,215,-269.52003831813005,-1.2535815735726978
s05_session002_run008,2,5,80,215,-243.82669257149476,-1.1340776398674175
s05_session003_run009,2,5,10,213,-230.4933653624789,-1.0821284758801826
s05_session003_run010,3,5,80,215,-266.99724876867185,-1.241847668691497
s05_session003_run011,1,5,40,207,-236.0327843551271,-1.140254996884672
s05_session003_run012,1,5,80,215,-248.77632603209312,-1.1570991908469448
s05_session004_run013,4,5,80,226,-290.0962848770686,-1.2836118799870293
s05_session004_run014,4,5,20,204,-287.0000010898454,-1.4068627504404185
s05_session004_run015,3,5,10,221,-346.7149304635409,-1.5688458392015425
s05_session004_run016,3,5,40,202,-287.6203212225833,-1.4238629763494224
s05_session004_run017,1,5,80,226,-262.8316524308058,-1.162971913410645
s05_session005_run018,2,5,40,202,-257.73628194575934,-1.2759221878502938
s05_session005_run019,2,5,20,204,-348.73741545649597,-1.7094971345906664
s05_session005_run020,4,5,80,226,-335.4707388886275,-1.4843838003921572
s05_session005_run021,1,5,80,226,-248.30505899394888,-1.0986949513006588
s05_session005_run022,4,5,10,221,-333.9910499113611,-1.5112717190559324
s05_session006_run023,1,5,10,221,-358.7986722011436,-1.623523403625084
s05_session006_run024,4,5,80,226,-266.80176424785736,-1.180538779857776
s05_session006_run025,1,5,40,202,-288.8516351042424,-1.4299585896249625
s05_session006_run026,3,5,20,204,-321.63723251363115,-1.5766531005570155
s05_session006_run027,3,5,80,226,-251.06532964625134,-1.1109085382577493
s06_session001_run001,1,6,20,204,-287.46134073638194,-1.4091242192959899
s06_session001_run002,1,6,10,221,-232.53509245024162,-1.0521949884626318
s06_session001_run003,3,6,80,226,-315.3403523366054,-1.3953112935248027
s06_session001_run004,3,6,40,202,-289.188480113901,-1.4316261391777276
s06_session001_run005,4,6,80,226,-327.6158978682148,-1.4496278666735167
s06_session002_run006,1,6,40,202,-222.00751245267415,-1.099047091349872
s06_session002_run007,2,6,10,221,-133.38833124563598,-0.6035671097087602
s06_session002_run008,1,6,80,226,-329.2690285639958,-1.456942604265468
s06_session002_run009,1,6,20,204,-98.71257057682716,-0.48388514988640763
s06_session002_run010,2,6,80,226,-311.72544788905486,-1.3793161411020127
s06_session003_run011,4,6,20,204,-104.74375773003379,-0.5134497927942833
s06_session003_run012,2,6,10,221,-61.847678755859356,-0.2798537500265129
s06_session003_run013,3,6,80,226,-269.2251639602023,-1.1912617874345233
s06_session003_run014,3,6,40,202,-179.52308636565874,-0.8887281503250433
s06_session003_run015,2,6,80,226,-247.0728707321239,-1.0932427908501057
s06_session004_run016,4,6,80,226,-235.33420782390186,-1.041301804530539
s06_session004_run017,4,6,20,204,-103.28252227835046,-0.5062868739134826
s06_session004_run018,3,6,80,226,-259.4389231413775,-1.1479598369087498
s06_session004_run019,1,6,10,221,-117.88538088466687,-0.5334180130527912
s06_session004_run020,2,6,40,202,-195.37348458809333,-0.9671954682578878
s06_session005_run021,1,6,80,226,-254.484697502221,-1.1260384845231017
s06_session005_run022,2,6,80,226,-324.5297168641162,-1.4359721985137885
s06_session005_run023,4,6,10,221,-75.78606208090304,-0.34292335783214045
s06_session005_run024,3,6,20,204,-89.19160605792396,-0.4372137551859018
s06_session005_run025,4,6,40,202,-217.8541524759598,-1.0784859033463357
s06_session006_run026,3,6,10,221,-55.98690538595102,-0.2533344135110906
s06_session006_run027,3,6,20,204,-84.0211944143488,-0.41186860007033727
s06_session006_run028,2,6,80,226,-260.976783745309,-1.1547645298465
s06_session006_run029,4,6,40,202,-194.76967259204136,-0.9642062999606008
s06_session006_run030,1,6,80,226,-265.6812441485215,-1.1755807263208915
s06_session007_run031,1,6,40,202,-170.9644723494655,-0.8463587740072549
s06_session007_run032,2,6,20,204,-111.36234706457638,-0.5458938581596882
s06_session007_run033,4,6,80,226,-214.16021877453588,-0.9476115874979464
s06_session007_run034,3,6,10,221,-39.18721367348568,-0.17731770892979945
s06_session007_run035,4,6,80,226,-221.69750305319334,-0.9809624028902361
s07_session001_run001,2,7,20,215,-67.88065914100667,-0.3157239960046822
s07_session001_run002,3,7,40,207,-164.37279285047458,-0.7940714630457709
s07_session001_run003,3,7,10,213,-3.9788967677982043,-0.018680266515484528
s07_session001_run004,3,7,80,215,-213.74118053747475,-0.9941450257556965
s07_session002_run005,2,7,80,215,-218.78875562005612,-1.0176221191630517
s07_session002_run006,4,7,80,215,-222.65587367350372,-1.0356087147604824
s07_session002_run007,2,7,40,207,-170.8347897154244,-0.8252888392049488
s07_session002_run008,4,7,20,215,-83.98147419055206,-0.39061150786303284
s07_session003_run009,4,7,10,213,63.33495727593333,0.2973472172579029
s07_session003_run010,1,7,80,215,-179.3087788362584,-0.8339943201686437
s07_session003_run011,1,7,80,215,-179.29703876092418,-0.8339397151670892
s07_session003_run012,1,7,20,215,-83.9023263866116,-0.39024337854237956
s07_session004_run013,4,7,40,202,-202.74497646471409,-1.0036880023005648
s07_session004_run014,1,7,80,226,-239.96636071654538,-1.0617980562679
s07_session004_run015,4,7,20,204,-204.70004470225453,-1.0034315916777183
s07_session004_run016,2,7,10,221,4.772930895077222,0.02159697237591503
s07_session004_run017,3,7,80,226,-281.61764133608784,-1.2460957581242824
s07_session005_run018,1,7,10,221,42.65735721434272,0.19301971590200326
s07_session005_run019,2,7,80,226,-253.13453555854252,-1.1200643166307191
s07_session005_run020,1,7,20,204,-41.04028611926429,-0.20117787313364846
s07_session005_run021,2,7,80,226,-220.0130249822127,-0.9735089600982862
s07_session005_run022,1,7,40,202,-173.21252083937213,-0.8574877269275848
s07_session006_run023,4,7,80,226,-184.54924106944932,-0.8165895622542005
s07_session006_run024,3,7,20,204,-75.7813940575724,-0.3714774218508451
s07_session006_run025,3,7,40,202,-164.90765580286333,-0.8163745336775412
s07_session006_run026,1,7,10,221,-20.718422787283004,-0.0937485193994706
s07_session006_run027,3,7,80,226,-237.8138757731001,-1.0522737866066376
s08_session001_run001,3,8,40,207,-194.34225640054737,-0.938851480195881
s08_session001_run002,3,8,20,215,-173.86596796665827,-0.8086789207751548
s08_session001_run003,4,8,80,215,-273.31654325286115,-1.2712397360598193
s08_session001_run004,2,8,10,213,-106.49668195403672,-0.4999844223194212
s08_session002_run005,2,8,10,213,-78.64486267394607,-0.36922470738941815
s08_session002_run006,4,8,80,215,-303.96509056205707,-1.4137911188932888
s08_session002_run007,3,8,80,215,-302.3585224521051,-1.4063187090795586
s08_session002_run008,2,8,20,215,-152.92569346995165,-0.7112822952090775
s08_session003_run009,1,8,40,207,-200.96089319472625,-0.9708255709890157
s08_session003_run010,1,8,80,215,-280.22462708826254,-1.3033703585500582
s08_session003_run011,1,8,20,215,-205.48348113265266,-0.9557371215472217
s08_session003_run012,1,8,80,215,-275.451846960465,-1.2811713812114651
s08_session004_run013,1,8,80,226,-364.8949860194141,-1.6145795841566994
s08_session004_run014,3,8,80,226,-403.1147639956692,-1.7836936459985362
s08_session004_run015,4,8,20,204,-324.8844672489389,-1.5925709178869554
s08_session004_run016,2,8,40,202,-355.41886353506897,-1.7594993244310344
s08_session004_run017,1,8,10,221,-408.665203269116,-1.8491638156973573
s08_session005_run018,3,8,10,221,-243.15687358421582,-1.1002573465349132
s08_session005_run019,1,8,40,202,-234.26976503199194,-1.159751312039564
s08_session005_run020,2,8,80,226,-356.95128604594413,-1.5794304692298413
s08_session005_run021,2,8,20,204,-266.32608314446003,-1.3055200154140199
s08_session005_run022,2,8,80,226,-357.32391235407954,-1.5810792582038917
s08_session006_run023,3,8,20,204,-185.82735418581626,-0.9109184028716484
s08_session006_run024,3,8,80,226,-355.8979482465829,-1.574769682507004
s08_session006_run025,4,8,40,202,-248.00576441458153,-1.227751308983077
s08_session006_run026,4,8,80,226,-320.557158578536,-1.4183945069846726
s08_session006_run027,4,8,10,221,-187.9967728476703,-0.8506641305324447
s09_session001_run001,3,9,10,221,-94.60473240309821,-0.4280757122312136
s09_session001_run002,1,9,20,204,-96.20976939263424,-0.47161651663056003
s09_session001_run003,2,9,80,226,-228.8216804408336,-1.0124853116851045
s09_session001_run004,4,9,80,226,-248.4920306248584,-1.0995222594020282
s09_session001_run005,1,9,40,202,-215.11255793556913,-1.0649136531463819
s09_session002_run006,3,9,80,226,-236.23930671785698,-1.0453066668931725
s09_session002_run007,2,9,20,204,-155.32550791157624,-0.761399548586158
s09_session002_run008,4,9,10,221,-143.0179446089024,-0.6471400208547621
s09_session002_run009,1,9,80,226,-287.67917795550414,-1.272916716617275
s09_session002_run010,3,9,40,202,-215.82577953104018,-1.0684444531239614
s09_session003_run011,1,9,10,221,-100.23706205904843,-0.45356136678302456
s09_session003_run012,2,9,80,226,-262.6462137096571,-1.1621513880958279
s09_session003_run013,4,9,80,226,-241.97422496460493,-1.0706824113478095
s09_session003_run014,1,9,40,202,-214.1077459991237,-1.0599393366293253
s09_session003_run015,3,9,20,204,-182.85833863932956,-0.8963644050947528
s09_session004_run016,3,9,40,202,-217.33090308418514,-1.0758955598226987
s09_session004_run017,3,9,20,204,-128.7520575121523,-0.631137536824276
s09_session004_run018,2,9,80,226,-262.3975335597068,-1.1610510334500301
s09_session004_run019,4,9,80,226,-285.5398034542929,-1.263450457762358
s09_session004_run020,2,9,10,221,-90.52774993763295,-0.4096278277720948
s09_session005_run021,1,9,20,204,-93.70342774989862,-0.4593305281857776
s09_session005_run022,1,9,80,226,-268.3260356494073,-1.1872833435814483
s09_session005_run023,1,9,10,221,-114.87118885283523,-0.5197791350807024
s09_session005_run024,1,9,80,226,-260.26597970136953,-1.1516193792095997
s09_session005_run025,2,9,40,202,-201.0836885754669,-0.9954638048290441
s09_session006_run026,2,9,10,221,-71.82837138343157,-0.32501525512864965
s09_session006_run027,4,9,40,202,-217.58719635320793,-1.0771643383822174
s09_session006_run028,4,9,20,204,-89.36210932046778,-0.43804955549248914
s09_session006_run029,4,9,80,226,-275.4924635337335,-1.2189932014766969
s09_session006_run030,3,9,80,226,-218.09199315826743,-0.9650088192843691
s09_session007_run031,1,9,80,226,-243.76545585313292,-1.0786082117395261
s09_session007_run032,4,9,10,221,-79.85693130473052,-0.36134358056439153
s09_session007_run033,3,9,80,226,-261.79621817996815,-1.1583903459290625
s09_session007_run034,2,9,20,204,-80.6445049100407,-0.3953162005394152
s09_session007_run035,4,9,40,202,-205.12444042535068,-1.0154675268581717
s09_session008_run036,4,9,20,204,-89.5053057658692,-0.43875149885229997
s09_session008_run037,3,9,10,221,-92.24817393788649,-0.41741255175514247
s09_session008_run038,2,9,40,202,-184.22547150667015,-0.9120072846864858
s09_session008_run039,2,9,80,226,-269.7748951067813,-1.1936942261362005
s09_session008_run040,3,9,80,226,-237.9017183262109,-1.0526624704699596
s10_session001_run001,2,10,80,226,-411.6375694556564,-1.8214051745825504
s10_session001_run002,2,10,40,202,-405.12735531182966,-2.005580966890246
s10_session001_run003,4,10,10,221,-212.34573982265277,-0.9608404516862117
s10_session001_run004,2,10,20,204,-193.39854531004679,-0.9480320848531705
s10_session001_run005,3,10,80,226,-368.4845356092331,-1.6304625469435092
s10_session002_run006,4,10,40,202,-285.3794917320093,-1.4127697610495509
s10_session002_run007,3,10,80,226,-355.0555596027614,-1.5710422991272628
s10_session002_run008,2,10,20,204,-183.93282468683802,-0.9016314935629315
s10_session002_run009,2,10,80,226,-352.180688005357,-1.5583216283422876
s10_session002_run010,3,10,10,221,-119.07513486132927,-0.5388015152096347
s10_session003_run011,4,10,80,226,-352.96070457916596,-1.5617730291113538
s10_session003_run013,3,10,10,221,-58.087150837323996,-0.26283778659422624
s10_session003_run014,4,10,80,226,-319.9615605260428,-1.4157591173718707
s10_session003_run015,2,10,40,202,-235.49998991247426,-1.1658415342201696
s10_session004_run016,4,10,10,221,-102.34964372313249,-0.4631205598331787
s10_session004_run017,3,10,20,204,-56.833559802383505,-0.27859588138423286
s10_session004_run018,1,10,80,226,-339.50421665899574,-1.502231047163698
s10_session004_run019,3,10,40,202,-186.46814502542657,-0.9231096288387454
s10_session005_run020,4,10,20,204,-61.505673463963355,-0.3014983993331537
s10_session005_run021,2,10,10,221,-90.17650770177103,-0.4080384963881042
s10_session005_run022,2,10,80,226,-317.1438090834267,-1.4032911906346313
s10_session005_run023,3,10,80,226,-300.1334195635891,-1.3280239803698632
s10_session005_run024,1,10,40,202,-123.01818738699696,-0.6090009276584007
s10_session006_run025,1,10,10,221,4.349226412541861,0.01967975752281385
s10_session006_run026,1,10,80,226,-359.7410710406972,-1.5917746506225539
s10_session006_run027,4,10,80,226,-318.6113087724673,-1.4097845520905632
s10_session006_run028,1,10,20,204,-2.295710558355806,-0.011253483129195128
s10_session006_run029,3,10,40,202,-150.0430473712284,-0.7427873632239029
s11_session001_run001,3,11,10,221,-27.608365173614967,-0.12492472929237541
s11_session001_run002,4,11,80,226,-298.4058503545823,-1.3203798688255854
s11_session001_run003,1,11,20,204,-162.76193149082428,-0.7978526053471778
s11_session001_run004,4,11,40,202,-333.3051673061982,-1.6500255807237534
s11_session001_run005,4,11,80,226,-305.3780812631821,-1.3512304480671773
s11_session002_run006,3,11,80,226,-265.27633868518564,-1.1737891092264852
s11_session002_run007,1,11,20,204,-144.82638832532174,-0.7099332761045184
s11_session002_run008,4,11,40,202,-255.01974972089184,-1.2624740085192665
s11_session002_run009,4,11,10,221,-34.53383282067023,-0.1562616869713585
s11_session002_run010,4,11,80,226,-246.89584925610808,-1.0924595099827792
s11_session003_run011,3,11,80,226,-213.6328101099904,-0.9452779208406655
s11_session003_run012,2,11,40,202,-210.93944952305242,-1.0442547006091705
s11_session003_run013,1,11,80,226,-234.83116202848407,-1.039075938179133
s11_session003_run014,2,11,10,221,-83.8383664658502,-0.3793591242798652
s11_session003_run015,2,11,20,204,-148.71127787617246,-0.7289768523341787
s11_session004_run016,1,11,80,226,-233.5429945562885,-1.0333760821074713
s11_session004_run017,3,11,20,204,-96.70662638114818,-0.47405209010366756
s11_session004_run018,1,11,10,221,-20.20886083636187,-0.0914428092143071
s11_session004_run019,2,11,40,202,-202.83895942643423,-1.0041532644872981
s11_session004_run020,3,11,80,226,-242.43700469639427,-1.0727301092760808
s11_session005_run021,3,11,40,202,-197.78910546460494,-0.9791539874485393
s11_session005_run022,2,11,80,226,-254.90904805486525,-1.127916141835687
s11_session005_run023,1,11,10,221,-102.78666068673603,-0.4650980121571766
s11_session005_run024,1,11,80,226,-253.34433926550415,-1.120992651617275
s11_session005_run025,4,11,20,204,-114.27887260933443,-0.5601905520065413
s11_session006_run026,4,11,10,221,-23.464043426876117,-0.10617214220305936
s11_session006_run027,2,11,20,204,-56.39687506550946,-0.27645526992896796
s11_session006_run028,2,11,80,226,-230.32899275913954,-1.0191548352174316
s11_session006_run029,2,11,80,226,-260.177720567806,-1.1512288520699379
s11_session006_run030,1,11,40,202,-189.2824925499806,-0.9370420423266366
s12_session001_run001,2,12,20,204,-298.0031571431069,-1.4607997899171905
s12_session001_run002,2,12,10,221,-42.86009045047897,-0.1939370608618958
s12_session001_run003,4,12,80,226,-336.9784718592028,-1.4910551852177114
s12_session001_run004,3,12,80,226,-340.4972045951255,-1.5066247990934756
s12_session001_run005,1,12,40,202,-179.9387675403146,-0.8907859779223495
s12_session002_run006,2,12,80,226,-279.3341946475966,-1.2359920117150291
s12_session002_run007,4,12,80,226,-272.4741162805944,-1.2056376826574973
s12_session002_run008,3,12,40,202,-281.4506639883737,-1.3933201187543254
s12_session002_run009,1,12,10,221,7.146810961421292,0.0323385111376529
s12_session002_run010,4,12,20,204,-92.55258431538824,-0.45368913880092276
s12_session003_run011,3,12,20,204,-85.7137839823154,-0.42016560775644807
s12_session003_run012,1,12,80,226,-336.8822269981497,-1.4906293230006624
s12_session003_run013,4,12,80,226,-337.0813610513998,-1.4915104471300877
s12_session003_run014,4,12,40,202,-243.26806632322607,-1.2042973580357725
s12_session003_run015,3,12,10,221,-61.24165138856997,-0.2771115447446605
s12_session004_run016,3,12,40,202,-180.79795031395648,-0.8950393579898835
s12_session004_run017,1,12,20,204,-61.01523337298406,-0.29909428124011794
s12_session004_run018,1,12,10,221,-86.88411928701323,-0.39314081125345357
s12_session004_run019,3,12,80,226,-276.96086150997576,-1.22549053765476
s12_session004_run020,1,12,80,226,-287.90944852329113,-1.2739356129349164
s12_session005_run021,2,12,80,226,-324.66269687194546,-1.4365606056280773
s12_session005_run022,4,12,10,221,-10.985206043478296,-0.049706814676372384
s12_session005_run023,2,12,20,204,-121.89953603243396,-0.5975467452570292
s12_session005_run024,1,12,40,202,-147.74316897402375,-0.7314018266040779
s12_session005_run025,1,12,80,226,-343.287001640023,-1.5189690338054114
s12_session006_run026,3,12,20,204,-123.7940131817263,-0.6068333979496388
s12_session006_run027,3,12,80,226,-343.97666863609794,-1.5220206576818494
s12_session006_run028,3,12,10,221,-101.81927531630733,-0.46072070278872096
s12_session006_run029,2,12,80,226,-355.8988123244793,-1.574773505860528
s12_session006_run030,2,12,40,202,-238.10919962800347,-1.1787584140000171
