model,motion_coherence,prior_std,condition,metric,observed,simulated_mean,simulated_ci_low,simulated_ci_high,observed_minus_simulated,n_simulations
HMM_static,0.059999999999999901,10,0.06/10,mean_abs_error_deg,19.78305858179176,34.772603099808428,32.942917756217057,36.393613686086091,-14.989544518016668,100
HMM_static,0.059999999999999901,10,0.06/10,median_abs_error_deg,12.861674377613218,21.170056856488085,19.652230350863125,22.570960396958142,-8.3083824788748668,100
HMM_static,0.059999999999999901,10,0.06/10,mean_cos_error,0.88373039494955352,0.71614265583626602,0.69648178848879738,0.73665255720606215,0.1675877391132875,100
HMM_static,0.059999999999999901,10,0.06/10,circular_std_error_deg,28.480694942408359,46.813471672504875,44.792861270088451,48.731400306790121,-18.332776730096512,100
HMM_static,0.059999999999999901,10,0.06/10,prior_like_rate,0.38108706345302501,0.32382070831283821,0.31584788489916371,0.33424126906050172,0.057266355140186798,100
HMM_static,0.059999999999999901,20,0.06/20,mean_abs_error_deg,26.780517331085093,37.822774556601807,36.412504752510074,39.120650688742266,-11.042257225516719,100
HMM_static,0.059999999999999901,20,0.06/20,median_abs_error_deg,18.954722722361641,26.830895201500105,25.673391956438849,27.802704670717244,-7.8761724791384644,100
HMM_static,0.059999999999999901,20,0.06/20,mean_cos_error,0.82335216742125994,0.6934632381926541,0.6767266277287628,0.71231656746602545,0.12988892922860579,100
HMM_static,0.059999999999999901,20,0.06/20,circular_std_error_deg,35.643206613085837,49.019791738115579,47.189857491351802,50.631522632116877,-13.376585125029742,100
HMM_static,0.059999999999999901,20,0.06/20,prior_like_rate,0.4963896707869293,0.42840900746542648,0.41668094480479739,0.4401174886794762,0.067980663321502793,100
HMM_static,0.059999999999999901,40,0.06/40,mean_abs_error_deg,40.377437775828149,43.018413621657601,42.035129955512531,44.010699507867365,-2.6409758458294519,100
HMM_static,0.059999999999999901,40,0.06/40,median_abs_error_deg,30.206194653197187,33.646594838609133,32.774476668356805,34.714811821944757,-3.4404001854119457,100
HMM_static,0.059999999999999901,40,0.06/40,mean_cos_error,0.66514064035974285,0.63703208861634975,0.62370959382142388,0.65001798402604671,0.0281085517433931,100
HMM_static,0.059999999999999901,40,0.06/40,circular_std_error_deg,51.687734857728231,54.408467888320239,53.180274699022874,55.668891361115513,-2.7207330305920081,100
HMM_static,0.059999999999999901,40,0.06/40,prior_like_rate,0.49755909558067818,0.46272738951695791,0.4448741007194244,0.47611767728674198,0.034831706063720297,100
HMM_static,0.059999999999999901,80,0.06/80,mean_abs_error_deg,54.084156207297518,55.221025029275545,54.341452269657466,55.913425652041582,-1.1368688219780267,100
HMM_static,0.059999999999999901,80,0.06/80,median_abs_error_deg,38.886853691551146,43.456661141784288,42.368654796868043,44.351115028011129,-4.5698074502331423,100
HMM_static,0.059999999999999901,80,0.06/80,mean_cos_error,0.48101378306309078,0.47235149254181602,0.46319682204875329,0.48431658744305711,0.0086622905212748007,100
HMM_static,0.059999999999999901,80,0.06/80,circular_std_error_deg,69.292260042799143,70.173084784789523,68.991268002931008,71.081660504722933,-0.88082474199038074,100
HMM_static,0.059999999999999901,80,0.06/80,prior_like_rate,0.4162515753465762,0.44974974494388748,0.43709116005521209,0.4619456280381683,-0.033498169597311299,100
HMM_static,0.12,10,0.12/10,mean_abs_error_deg,16.965770271008903,23.1820719104714,21.930501787126648,24.201815735514423,-6.2163016394624968,100
HMM_static,0.12,10,0.12/10,median_abs_error_deg,11.376982860153666,15.453873566285692,14.655909622350531,16.154376938247935,-4.0768907061320254,100
HMM_static,0.12,10,0.12/10,mean_cos_error,0.91329686264709276,0.85452849359327121,0.84303065161406021,0.86842439920394143,0.058768369053821601,100
HMM_static,0.12,10,0.12/10,circular_std_error_deg,24.397986348780119,32.117812152349082,30.431106885941624,33.482085143197466,-7.7198258035689618,100
HMM_static,0.12,10,0.12/10,prior_like_rate,0.34560400285918508,0.31049499642601858,0.29976322373123648,0.3245443173695497,0.035109006433166501,100
HMM_static,0.12,20,0.12/20,mean_abs_error_deg,21.570142951466824,26.279113004031665,25.532847836389063,27.084378853240008,-4.7089700525648404,100
HMM_static,0.12,20,0.12/20,median_abs_error_deg,15.70667950089295,19.217573969794145,18.655370256660948,19.736368912196767,-3.5108944689011961,100
HMM_static,0.12,20,0.12/20,mean_cos_error,0.88037612625867756,0.83164250348910873,0.8223475034493879,0.84195175935594935,0.048733622769568899,100
HMM_static,0.12,20,0.12/20,circular_std_error_deg,28.839581883931597,34.784820955825289,33.603298094499635,35.834853520906719,-5.9452390718936963,100
HMM_static,0.12,20,0.12/20,prior_like_rate,0.43139240506329107,0.40122362869198308,0.38750210970464127,0.41384810126582272,0.030168776371307899,100
HMM_static,0.12,40,0.12/40,mean_abs_error_deg,28.016988573555629,31.481347151403178,30.590724480190733,32.355139584551125,-3.4643585778475483,100
HMM_static,0.12,40,0.12/40,median_abs_error_deg,19.539354778799805,23.20493275587819,22.310930030515184,24.007430976617162,-3.6655779770783847,100
HMM_static,0.12,40,0.12/40,mean_cos_error,0.80849071670227435,0.7744603032136953,0.76330077845080824,0.78469631462569911,0.034030413488578999,100
HMM_static,0.12,40,0.12/40,circular_std_error_deg,37.357580443517833,40.960217354213363,39.897707943860162,42.110951323062075,-3.60263691069553,100
HMM_static,0.12,40,0.12/40,prior_like_rate,0.37187661554368417,0.42120110287782181,0.4026064104773393,0.44595037049801822,-0.049324487334137503,100
HMM_static,0.12,80,0.12/80,mean_abs_error_deg,33.427218791111521,43.705829526478482,42.454692743271643,44.828519277535371,-10.278610735366954,100
HMM_static,0.12,80,0.12/80,median_abs_error_deg,20.461614916591707,28.34443099202554,27.376270464259001,29.149491578153015,-7.8828160754338334,100
HMM_static,0.12,80,0.12/80,mean_cos_error,0.73441717424542352,0.60985994625950268,0.5961976019825691,0.62654981679806565,0.1245572279859207,100
HMM_static,0.12,80,0.12/80,circular_std_error_deg,45.018209912383753,56.979036242555566,55.402236810744256,58.261963492027071,-11.96082633017182,100
HMM_static,0.12,80,0.12/80,prior_like_rate,0.26792648200880143,0.39061092415221321,0.37418025714039171,0.40439856760721371,-0.1226844421434118,100
HMM_static,0.23999999999999991,10,0.24/10,mean_abs_error_deg,11.734827655628733,17.867475929216617,16.650845978325684,18.823582867696491,-6.1326482735878862,100
HMM_static,0.23999999999999991,10,0.24/10,median_abs_error_deg,8.6948345032158727,11.3420695254488,10.887263067435502,11.787641633366242,-2.6472350222329286,100
HMM_static,0.23999999999999991,10,0.24/10,mean_cos_error,0.95989917421234083,0.89648060368396654,0.88448452436631986,0.91163398683534724,0.063418570528374199,100
HMM_static,0.23999999999999991,10,0.24/10,circular_std_error_deg,16.36495449753874,26.770057896112441,24.6397300433607,28.386089527369055,-10.405103398573701,100
HMM_static,0.23999999999999991,10,0.24/10,prior_like_rate,0.2658227848101265,0.29094233473980302,0.2769866385372714,0.30768284106891702,-0.0251195499296765,100
HMM_static,0.23999999999999991,20,0.24/20,mean_abs_error_deg,12.754857900805986,20.773786204522025,19.74843552961341,21.580823044283221,-8.0189283037160379,100
HMM_static,0.23999999999999991,20,0.24/20,median_abs_error_deg,9.556152579923884,13.522957531896411,12.980061277164465,14.128048500335019,-3.9668049519725272,100
HMM_static,0.23999999999999991,20,0.24/20,mean_cos_error,0.95458390259555725,0.87486977307697633,0.8641679663377374,0.88814567999792071,0.079714129518581006,100
HMM_static,0.23999999999999991,20,0.24/20,circular_std_error_deg,17.459468970908461,29.614799245878757,27.906159692278827,30.954530479773801,-12.155330274970291,100
HMM_static,0.23999999999999991,20,0.24/20,prior_like_rate,0.28836424957841478,0.3567074198988196,0.33148187183811118,0.38095489038785829,-0.068343170320404698,100
HMM_static,0.23999999999999991,40,0.24/40,mean_abs_error_deg,15.216576994046912,25.767314907611759,24.57932697273565,26.975598420407159,-10.550737913564848,100
HMM_static,0.23999999999999991,40,0.24/40,median_abs_error_deg,11.036410917128761,15.901256984905311,15.117088521190627,16.972659391021704,-4.8648460677765533,100
HMM_static,0.23999999999999991,40,0.24/40,mean_cos_error,0.93378004441128837,0.82207751582674793,0.80835806758323314,0.83759351598551635,0.11170252858454061,100
HMM_static,0.23999999999999991,40,0.24/40,circular_std_error_deg,21.209365815803658,35.85426010344915,34.106463288585829,37.374081924016153,-14.644894287645492,100
HMM_static,0.23999999999999991,40,0.24/40,prior_like_rate,0.22848537005163511,0.37274956970740097,0.34892426850258168,0.40003227194492252,-0.1442641996557659,100
HMM_static,0.23999999999999991,80,0.24/80,mean_abs_error_deg,16.947340019970333,38.204159417116671,36.493953556620127,39.807717260098606,-21.256819397146337,100
HMM_static,0.23999999999999991,80,0.24/80,median_abs_error_deg,11.56592213752482,18.608020393723685,17.450341739101173,19.902304160553189,-7.0420982561988659,100
HMM_static,0.23999999999999991,80,0.24/80,mean_cos_error,0.91253153567464562,0.65340315108264546,0.63395017068815052,0.6731670009964118,0.25912838459199988,100
HMM_static,0.23999999999999991,80,0.24/80,circular_std_error_deg,24.501217402519881,52.855190895068056,50.971857861152863,54.701736159885577,-28.353973492548175,100
HMM_static,0.23999999999999991,80,0.24/80,prior_like_rate,0.1459963376061261,0.35101881138671548,0.33083485933078072,0.36983935408689861,-0.2050224737805893,100
Covariate_HMM,0.059999999999999901,10,0.06/10,mean_abs_error_deg,19.78305858179176,19.146089189691136,18.068321444558809,20.586948999688456,0.63696939210062087,100
Covariate_HMM,0.059999999999999901,10,0.06/10,median_abs_error_deg,12.861674377613218,12.558493413226884,12.104205912087952,13.007807718271271,0.30318096438633357,100
Covariate_HMM,0.059999999999999901,10,0.06/10,mean_cos_error,0.88373039494955352,0.89157259423726853,0.87366973834029815,0.90395879806783841,-0.0078421992877150005,100
Covariate_HMM,0.059999999999999901,10,0.06/10,circular_std_error_deg,28.480694942408359,27.433579250927995,25.747201689892528,29.774305162107549,1.0471156914803608,100
Covariate_HMM,0.059999999999999901,10,0.06/10,prior_like_rate,0.38108706345302501,0.3756123954746679,0.367916871618298,0.38533263649778648,0.0054746679783571001,100
Covariate_HMM,0.059999999999999901,20,0.06/20,mean_abs_error_deg,26.780517331085093,28.882184731844166,27.90192327211826,29.768358167019372,-2.101667400759073,100
Covariate_HMM,0.059999999999999901,20,0.06/20,median_abs_error_deg,18.954722722361641,20.751140834330421,20.202437801475671,21.366254865747056,-1.7964181119687836,100
Covariate_HMM,0.059999999999999901,20,0.06/20,mean_cos_error,0.82335216742125994,0.80142085855081902,0.79035958136734075,0.81313741390311955,0.0219313088704409,100
Covariate_HMM,0.059999999999999901,20,0.06/20,circular_std_error_deg,35.643206613085837,38.118751476091539,36.847156505291672,39.300578786033562,-2.4755448630057018,100
Covariate_HMM,0.059999999999999901,20,0.06/20,prior_like_rate,0.4963896707869293,0.46870272916411693,0.45770407538856928,0.48159344021539591,0.027686941622812301,100
Covariate_HMM,0.059999999999999901,40,0.06/40,mean_abs_error_deg,40.377437775828149,41.344789980694223,40.456362136607645,42.253841048340057,-0.96735220486607443,100
Covariate_HMM,0.059999999999999901,40,0.06/40,median_abs_error_deg,30.206194653197187,30.522664290076225,29.714872741402552,31.290429968497929,-0.31646963687903451,100
Covariate_HMM,0.059999999999999901,40,0.06/40,mean_cos_error,0.66514064035974285,0.65427743460448784,0.64272114394923108,0.66525811678191105,0.010863205755255,100
Covariate_HMM,0.059999999999999901,40,0.06/40,circular_std_error_deg,51.687734857728231,52.772727740593915,51.722818129870923,53.865303559828178,-1.0849928828656772,100
Covariate_HMM,0.059999999999999901,40,0.06/40,prior_like_rate,0.49755909558067818,0.45681397738951701,0.44486767728674198,0.46963322199383339,0.040745118191161202,100
Covariate_HMM,0.059999999999999901,80,0.06/80,mean_abs_error_deg,54.084156207297518,52.64416948117001,51.978865536663456,53.32617541198622,1.4399867261275077,100
Covariate_HMM,0.059999999999999901,80,0.06/80,median_abs_error_deg,38.886853691551146,38.123692239003134,37.487465260695515,38.949948787608605,0.7631614525480046,100
Covariate_HMM,0.059999999999999901,80,0.06/80,mean_cos_error,0.48101378306309078,0.50179967855878482,0.49273241716237282,0.51135586388481957,-0.020785895495693901,100
Covariate_HMM,0.059999999999999901,80,0.06/80,circular_std_error_deg,69.292260042799143,67.284514933425655,66.358109978674989,68.166091360215901,2.0077451093734879,100
Covariate_HMM,0.059999999999999901,80,0.06/80,prior_like_rate,0.4162515753465762,0.401061033427354,0.39258986977134958,0.40885944907879729,0.0151905419192222,100
Covariate_HMM,0.12,10,0.12/10,mean_abs_error_deg,16.965770271008903,16.754282338954393,15.565806001643145,18.220045482034759,0.21148793205451,100
Covariate_HMM,0.12,10,0.12/10,median_abs_error_deg,11.376982860153666,11.964531955467276,11.576734354389936,12.461674531678495,-0.58754909531361044,100
Covariate_HMM,0.12,10,0.12/10,mean_cos_error,0.91329686264709276,0.91868167249072363,0.90072967855055885,0.93209516310257923,-0.0053848098436306002,100
Covariate_HMM,0.12,10,0.12/10,circular_std_error_deg,24.397986348780119,23.57025036729976,21.485451049495968,26.198006656996725,0.82773598148035876,100
Covariate_HMM,0.12,10,0.12/10,prior_like_rate,0.34560400285918508,0.36461401000714783,0.35385543245175122,0.37411097212294492,-0.0190100071479627,100
Covariate_HMM,0.12,20,0.12/20,mean_abs_error_deg,21.570142951466824,23.635184523190151,22.971280124398401,24.405626886547189,-2.0650415717233277,100
Covariate_HMM,0.12,20,0.12/20,median_abs_error_deg,15.70667950089295,17.695535985146517,17.327229600917338,18.211727529916921,-1.9888564842535672,100
Covariate_HMM,0.12,20,0.12/20,mean_cos_error,0.88037612625867756,0.86118886948297901,0.85047239932569152,0.86903856085274511,0.019187256775698599,100
Covariate_HMM,0.12,20,0.12/20,circular_std_error_deg,28.839581883931597,31.317822393442743,30.35446548251624,32.608606753180013,-2.4782405095111493,100
Covariate_HMM,0.12,20,0.12/20,prior_like_rate,0.43139240506329107,0.43224810126582258,0.4198902953586498,0.44552320675105478,-0.00085569620253150001,100
Covariate_HMM,0.12,40,0.12/40,mean_abs_error_deg,28.016988573555629,30.276655119718988,29.655288662584013,31.159780215229656,-2.2596665461633592,100
Covariate_HMM,0.12,40,0.12/40,median_abs_error_deg,19.539354778799805,21.264611948849737,20.644123076432365,21.910634952157857,-1.7252571700499324,100
Covariate_HMM,0.12,40,0.12/40,mean_cos_error,0.80849071670227435,0.78347775414504062,0.77214492641527788,0.79117747560608498,0.0250129625572337,100
Covariate_HMM,0.12,40,0.12/40,circular_std_error_deg,37.357580443517833,40.021522372394507,39.20661078613977,41.190892882771145,-2.6639419288766817,100
Covariate_HMM,0.12,40,0.12/40,prior_like_rate,0.37187661554368417,0.3777907978631741,0.36738755815957258,0.3898069963811821,-0.0059141823194897997,100
Covariate_HMM,0.12,80,0.12/80,mean_abs_error_deg,33.427218791111521,35.224532815998565,34.395860945492743,36.064706629604473,-1.7973140248870507,100
Covariate_HMM,0.12,80,0.12/80,median_abs_error_deg,20.461614916591707,22.129143525777192,21.585328302303505,22.650348739514669,-1.6675286091854853,100
Covariate_HMM,0.12,80,0.12/80,mean_cos_error,0.73441717424542352,0.71425740907555146,0.70331393296035183,0.72509876195790957,0.020159765169871901,100
Covariate_HMM,0.12,80,0.12/80,circular_std_error_deg,45.018209912383753,47.002059655156579,45.939578874290248,48.068504974851685,-1.9838497427728328,100
Covariate_HMM,0.12,80,0.12/80,prior_like_rate,0.26792648200880143,0.27933989127621017,0.26896626110967292,0.28837906635602722,-0.011413409267408799,100
Covariate_HMM,0.23999999999999991,10,0.24/10,mean_abs_error_deg,11.734827655628733,14.506113171166763,13.479291608580075,15.786342629097575,-2.7712855155380343,100
Covariate_HMM,0.23999999999999991,10,0.24/10,median_abs_error_deg,8.6948345032158727,10.710515892835511,10.202678725348632,11.115431651291471,-2.0156813896196404,100
Covariate_HMM,0.23999999999999991,10,0.24/10,mean_cos_error,0.95989917421234083,0.93714077588969935,0.92166556852776216,0.94921379882799195,0.022758398322641302,100
Covariate_HMM,0.23999999999999991,10,0.24/10,circular_std_error_deg,16.36495449753874,20.609382666257769,18.498037380639765,23.136303368740649,-4.2444281687190291,100
Covariate_HMM,0.23999999999999991,10,0.24/10,prior_like_rate,0.2658227848101265,0.33966947960618837,0.3226002109704641,0.3544655414908579,-0.073846694796061901,100
Covariate_HMM,0.23999999999999991,20,0.24/20,mean_abs_error_deg,12.754857900805986,16.757922215220738,15.940280564155705,17.698574077683279,-4.0030643144147522,100
Covariate_HMM,0.23999999999999991,20,0.24/20,median_abs_error_deg,9.556152579923884,12.433764863258627,11.88190379651131,13.018282302525565,-2.8776122833347446,100
Covariate_HMM,0.23999999999999991,20,0.24/20,mean_cos_error,0.95458390259555725,0.92217616427582161,0.91145514704800545,0.93162043083461721,0.032407738319735598,100
Covariate_HMM,0.23999999999999991,20,0.24/20,circular_std_error_deg,17.459468970908461,23.049341536758917,21.558699743631081,24.663709790767331,-5.5898725658504524,100
Covariate_HMM,0.23999999999999991,20,0.24/20,prior_like_rate,0.28836424957841478,0.33446458684654301,0.31658937605396292,0.35246627318718382,-0.046100337268128101,100
Covariate_HMM,0.23999999999999991,40,0.24/40,mean_abs_error_deg,15.216576994046912,17.535152558454669,16.602585520141627,18.294096519131656,-2.318575564407757,100
Covariate_HMM,0.23999999999999991,40,0.24/40,median_abs_error_deg,11.036410917128761,12.227784879648809,11.621231578457255,12.886511510070994,-1.1913739625200499,100
Covariate_HMM,0.23999999999999991,40,0.24/40,mean_cos_error,0.93378004441128837,0.91027682998837078,0.9005157757555633,0.92056873011560625,0.023503214422917799,100
Covariate_HMM,0.23999999999999991,40,0.24/40,circular_std_error_deg,21.209365815803658,24.828792151871635,23.310736747971564,26.225453737584623,-3.6194263360679777,100
Covariate_HMM,0.23999999999999991,40,0.24/40,prior_like_rate,0.22848537005163511,0.2421428571428571,0.2261080034423408,0.25907917383820989,-0.013657487091222,100
Covariate_HMM,0.23999999999999991,80,0.24/80,mean_abs_error_deg,16.947340019970333,17.404865704690987,16.845211565689684,17.923567107237524,-0.45752568472065391,100
Covariate_HMM,0.23999999999999991,80,0.24/80,median_abs_error_deg,11.56592213752482,11.718394350596116,11.400584183939401,12.040518386765042,-0.15247221307129871,100
Covariate_HMM,0.23999999999999991,80,0.24/80,mean_cos_error,0.91253153567464562,0.90633889118182442,0.89951505152529165,0.91305089360602176,0.0061926444928209002,100
Covariate_HMM,0.23999999999999991,80,0.24/80,circular_std_error_deg,24.501217402519881,25.404843185431165,24.438022188393621,26.367510775571724,-0.90362578291128759,100
Covariate_HMM,0.23999999999999991,80,0.24/80,prior_like_rate,0.1459963376061261,0.14138838022307301,0.13249542200765771,0.14825620109871809,0.0046079573830530999,100
